104.200.131.168 - - [21/Oct/2022:12:19:03 -0700] "GET /ProjectPageMini HTTP/1.1" 200 2152 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:04 -0700] "GET /guitarhero.html HTTP/1.1" 200 2730 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:05 -0700] "GET /computerbuild HTTP/1.1" 200 2698 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:06 -0700] "GET /ProjectPage.html HTTP/1.1" 200 3153 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:07 -0700] "GET /uscinternship HTTP/1.1" 200 3223 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:08 -0700] "GET /microelectronicslab.html HTTP/1.1" 200 2996 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:09 -0700] "GET /seniorresearch HTTP/1.1" 200 13494 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:10 -0700] "GET /fpgagaming.html HTTP/1.1" 200 5466 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:11 -0700] "GET /songlist.txt HTTP/1.1" 200 336 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:12 -0700] "GET /uscinternship.html HTTP/1.1" 200 3223 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
