51.222.253.6 - - [23/Sep/2022:02:14:04 -0700] "GET /IMGS/tpu_indeximg.PNG HTTP/1.1" 200 36162 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.1 - - [23/Sep/2022:02:14:05 -0700] "GET /IMGS/ProjectPageOne/two%20(Copy).jpg HTTP/1.1" 200 84792 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.20 - - [23/Sep/2022:02:14:06 -0700] "GET /IMGS/microblaze_system.png HTTP/1.1" 200 73636 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
207.46.13.96 - - [23/Sep/2022:02:33:21 -0700] "GET /IMGS/SummerCamp/three.JPG HTTP/1.1" 200 2452966 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
114.119.152.70 - - [23/Sep/2022:03:30:55 -0700] "GET /facetrack.html HTTP/1.1" 200 2585 "https://www.theashish.net/reactivelights.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "www.theashish.net"
114.119.152.56 - - [23/Sep/2022:03:43:28 -0700] "GET /tpu.html HTTP/1.1" 200 2295 "https://theashish.net/videoediting.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
207.46.13.145 - - [23/Sep/2022:04:19:38 -0700] "GET /IMGS/ProjectPageFive/audio/three.jpg HTTP/1.1" 200 2624120 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "theashish.net"
66.249.66.75 - - [23/Sep/2022:04:23:40 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.theashish.net"
66.249.66.75 - - [23/Sep/2022:04:23:40 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "-" "Googlebot-Image/1.0" "www.theashish.net"
46.161.27.156 - - [23/Sep/2022:04:44:58 -0700] "GET /wp-login.php HTTP/1.1" 404 88 "http://theashish.net/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763" "theashish.net"
40.77.167.20 - - [23/Sep/2022:04:45:46 -0700] "GET /IMGS/ProjectPageOne/two.jpg HTTP/1.1" 200 2187383 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "theashish.net"
207.46.13.96 - - [23/Sep/2022:04:52:26 -0700] "GET /certifications.html/projectpageone_files/jquery.js.download HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "theashish.net"
207.46.13.96 - - [23/Sep/2022:05:48:30 -0700] "GET /IMGS/senior/update10/wave%20outputs.jpg HTTP/1.1" 200 360040 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "theashish.net"
162.55.86.62 - - [23/Sep/2022:06:08:37 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [23/Sep/2022:06:08:38 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [23/Sep/2022:06:08:38 -0700] "GET /sitemap HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [23/Sep/2022:06:08:40 -0700] "GET /sitemap HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [23/Sep/2022:06:08:46 -0700] "GET /sitemap.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
162.55.86.62 - - [23/Sep/2022:06:08:49 -0700] "GET /sitemap.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)" "theashish.net"
66.249.72.200 - - [23/Sep/2022:06:19:24 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "theashish.net"
66.249.72.202 - - [23/Sep/2022:06:19:24 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "-" "Googlebot-Image/1.0" "theashish.net"
223.229.237.253 - - [23/Sep/2022:06:24:18 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36" "theashish.net"
40.77.167.20 - - [23/Sep/2022:07:23:12 -0700] "GET /IMGS/ProjectPageFive/digitalone.jpg HTTP/1.1" 200 5656209 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "theashish.net"
111.207.155.211 - - [23/Sep/2022:07:54:53 -0700] "GET / HTTP/1.1" 200 19411 "-" "Mozilla/5.0 Firefox/35.0" "theashish.net"
194.38.20.161 - - [23/Sep/2022:09:52:50 -0700] "GET /wp-content/themes/qualifire/style.css HTTP/1.1" 404 73 "-" "ALittle Client" "theashish.net"
14.29.216.170 - - [23/Sep/2022:10:13:48 -0700] "GET / HTTP/1.1" 200 4079 "http://theashish.net" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:19 -0700] "GET / HTTP/1.1" 200 4079 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:19 -0700] "GET /css/shop-homepage.css HTTP/1.1" 200 467 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:19 -0700] "GET /css/modern-business.css HTTP/1.1" 404 88 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:19 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 9833 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:19 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 21377 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:19 -0700] "GET /css/bootstrap.min.css HTTP/1.1" 200 19744 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
